Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
11104644,VIOLENCE_HOMICIDENUM,REGION,GLOBAL,YEAR,2012,SEX,MLE,AGEGROUP,YEARS0-4,NA,NA,NA,NA,9103.846,9103.846,NA,NA,NA,2015-07-15T11:45:04.713+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
11104645,VIOLENCE_HOMICIDENUM,REGION,GLOBAL,YEAR,2012,SEX,MLE,AGEGROUP,YEARS05-09,NA,NA,NA,NA,4328.417,4328.417,NA,NA,NA,2015-07-15T11:45:05.657+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
11104646,VIOLENCE_HOMICIDENUM,REGION,GLOBAL,YEAR,2012,SEX,MLE,AGEGROUP,YEARS10-29,NA,NA,NA,NA,171266.3,171266.3,NA,NA,NA,2015-07-15T11:45:05.727+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
11104647,VIOLENCE_HOMICIDENUM,REGION,GLOBAL,YEAR,2012,SEX,MLE,AGEGROUP,YEARS30-49,NA,NA,NA,NA,139306.3,139306.3,NA,NA,NA,2015-07-15T11:45:05.76+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
11104648,VIOLENCE_HOMICIDENUM,REGION,GLOBAL,YEAR,2012,SEX,MLE,AGEGROUP,YEARS50PLUS,NA,NA,NA,NA,56621.89,56621.89,NA,NA,NA,2015-07-15T11:45:05.917+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
11104649,VIOLENCE_HOMICIDENUM,REGION,GLOBAL,YEAR,2012,SEX,FMLE,AGEGROUP,YEARS0-4,NA,NA,NA,NA,8858.238,8858.238,NA,NA,NA,2015-07-15T11:45:05.95+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
11104650,VIOLENCE_HOMICIDENUM,REGION,GLOBAL,YEAR,2012,SEX,FMLE,AGEGROUP,YEARS05-09,NA,NA,NA,NA,4166.868,4166.868,NA,NA,NA,2015-07-15T11:45:06.067+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
11104651,VIOLENCE_HOMICIDENUM,REGION,GLOBAL,YEAR,2012,SEX,FMLE,AGEGROUP,YEARS10-29,NA,NA,NA,NA,34047.04,34047.04,NA,NA,NA,2015-07-15T11:45:06.11+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
11104652,VIOLENCE_HOMICIDENUM,REGION,GLOBAL,YEAR,2012,SEX,FMLE,AGEGROUP,YEARS30-49,NA,NA,NA,NA,26480.14,26480.14,NA,NA,NA,2015-07-15T11:45:06.18+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
11104653,VIOLENCE_HOMICIDENUM,REGION,GLOBAL,YEAR,2012,SEX,FMLE,AGEGROUP,YEARS50PLUS,NA,NA,NA,NA,19463.37,19463.37,NA,NA,NA,2015-07-15T11:45:06.213+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
